        A1         A4         A6         A7         A9        A10        A11        A12        A14        A15        A16
 4.855E-01  5.504E-01  7.114E-01  4.701E-01  8.198E-01  7.553E-01  7.000E+00  5.070E-01  1.000E+02  8.090E+02  1.000E+00
 4.855E-01  3.061E-01  3.283E-01  4.701E-01  7.344E-02  2.855E-01  0.000E+00  4.952E-01  2.000E+02  0.000E+00  0.000E+00
 4.855E-01  5.504E-01  5.091E-01  4.701E-01  8.198E-01  2.855E-01  0.000E+00  4.952E-01  1.200E+02  2.206E+03  1.000E+00
 4.855E-01  5.504E-01  4.742E-01  6.972E-01  7.344E-02  2.855E-01  0.000E+00  4.952E-01  3.200E+02  1.300E+01  0.000E+00
 4.855E-01  3.061E-01  1.528E-01  1.699E-01  7.344E-02  7.553E-01  2.000E+00  4.952E-01  1.600E+02  1.000E+00  0.000E+00
 4.855E-01  5.504E-01  9.064E-01  6.972E-01  8.198E-01  7.553E-01  1.000E+00  4.952E-01  1.000E+02  0.000E+00  1.000E+00
 4.855E-01  3.061E-01  4.742E-01  4.701E-01  7.344E-02  2.855E-01  0.000E+00  5.070E-01  1.600E+02  0.000E+00  0.000E+00
 4.855E-01  5.504E-01  5.091E-01  4.701E-01  7.344E-02  7.553E-01  1.000E+00  4.952E-01  2.720E+02  4.440E+02  0.000E+00
 4.855E-01  5.504E-01  2.962E-01  4.701E-01  7.344E-02  2.855E-01  0.000E+00  4.952E-01  1.440E+02  0.000E+00  0.000E+00
 4.855E-01  3.061E-01  4.191E-01  4.701E-01  7.344E-02  2.855E-01  0.000E+00  5.070E-01  1.200E+02  4.750E+02  0.000E+00
 4.855E-01  5.504E-01  3.870E-01  5.263E-01  7.344E-02  2.855E-01  0.000E+00  4.952E-01  5.500E+02  0.000E+00  0.000E+00
 5.329E-01  3.061E-01  3.870E-01  1.699E-01  7.344E-02  2.855E-01  0.000E+00  4.952E-01  8.600E+01  0.000E+00  0.000E+00
 4.855E-01  3.061E-01  3.283E-01  4.701E-01  7.344E-02  7.553E-01  1.000E+00  5.070E-01  2.800E+02  8.000E+01  0.000E+00
 4.855E-01  5.504E-01  5.197E-01  5.263E-01  8.198E-01  7.553E-01  1.200E+01  5.070E-01  4.100E+02  2.510E+03  1.000E+00
 4.855E-01  5.504E-01  2.962E-01  4.701E-01  7.344E-02  2.855E-01  0.000E+00  5.070E-01  0.000E+00  3.500E+02  0.000E+00
 4.855E-01  5.504E-01  5.197E-01  4.701E-01  8.198E-01  7.553E-01  3.000E+00  4.952E-01  2.600E+02  1.511E+04  1.000E+00
